orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000302085299","2022-09-06",5090679,2,8855.27,1371.98,7318.41,0.00,1536.87,365.92000000000,"187.23",0.00,"801.99","570.00","","0.00","0.00",703
2,"B0000302085300","2022-09-06",5724651,2,9126.42,1876.47,7542.49,0.00,1583.92,377.12000000000,"192.96",0.00,"509.98","1366.48","","0.00","0.00",703
3,"B0000302085301","2022-09-06",5760909,2,11516.27,2846.93,9517.58,0.00,1998.69,475.88000000000,"243.49",0.00,"1457.97","1388.96","","0.00","0.00",703
4,"B0000302085302","2022-09-06",8055378,2,9556.97,2194.95,7898.32,0.00,1658.65,394.92000000000,"202.07",0.00,"1324.97","869.98","","0.00","0.00",703
5,"B0000302085303","2022-09-06",10403205,2,5410.35,1163.97,4471.36,0.00,938.99,0.00000000000,"114.39",0.00,"389.99","773.98","","0.00","0.00",703
6,"B0000302085304","2022-09-06",10948309,10,25035.66,5053.44,18724.55,0.00,6311.11,936.23000000000,"529.34",0.00,"1418.98","3634.46","","0.00","2378.95",703
7,"B0000302085305","2022-09-06",10948392,2,4944.55,759.99,4086.40,0.00,858.14,204.32000000000,"104.54",0.00,"399.99","359.99","","0.00","0.00",703
8,"B0000302085306","2022-09-06",10948546,10,16488.39,6329.88,12331.92,0.00,4156.47,616.60000000000,"348.62",0.00,"5618.90","710.98","","0.00","1566.77",703
9,"B0000302085307","2022-09-06",11054115,2,11599.71,3145.46,9586.54,0.00,2013.17,479.33000000000,"245.26",0.00,"1940.97","1204.49","","0.00","0.00",703
10,"B0000302085308","2022-09-06",11273070,10,18402.83,4174.90,13763.76,0.00,4639.07,688.19000000000,"389.10",0.00,"2098.95","2075.95","","0.00","1748.69",703
11,"B0000302085309","2022-09-06",11362286,10,39657.57,11440.35,29660.50,0.00,9997.07,1483.02000000000,"838.49",0.00,"7655.91","3784.44","","0.00","3768.37",703
12,"B0000302085310","2022-09-06",11569972,2,9603.47,2689.45,7936.75,0.00,1666.72,396.84000000000,"203.05",0.00,"1907.96","781.49","","0.00","0.00",703
13,"B0000302085311","2022-09-06",11969334,10,21186.28,5251.43,15845.54,0.00,5340.74,950.73000000000,"447.95",0.00,"2705.97","2545.46","","0.00","2013.18",703
14,"B0000302085312","2022-09-06",12119466,2,6519.80,1787.96,5388.26,0.00,1131.54,269.41000000000,"137.85",0.00,"1124.98","662.98","","0.00","0.00",703
15,"B0000302085313","2022-09-06",12358290,10,43524.72,11294.82,32552.80,0.00,10971.92,1627.64000000000,"920.26",0.00,"6419.89","4874.93","","0.00","4135.83",703
16,"B0000302085314","2022-09-06",12454273,2,7936.26,2731.46,6558.89,0.00,1377.37,327.94000000000,"167.80",0.00,"2312.97","418.49","","0.00","0.00",703
17,"B0000302085315","2022-09-06",12485012,2,5278.59,1532.97,4362.47,0.00,916.12,218.12000000000,"111.61",0.00,"1055.98","476.99","","0.00","0.00",703
18,"B0000302085316","2022-09-06",12500747,10,12074.09,4100.91,9030.40,0.00,3043.69,451.52000000000,"255.29",0.00,"3425.93","674.98","","0.00","1147.31",703
19,"B0000302085317","2022-09-06",12744204,10,29732.90,9875.36,22237.69,0.00,7495.21,1111.88000000000,"628.65",0.00,"7956.89","1918.47","","0.00","2825.30",703
20,"B0000302085318","2022-09-06",12836940,2,11584.84,3599.94,9574.25,0.00,2010.59,478.71000000000,"244.94",0.00,"2717.96","881.98","","0.00","0.00",703
