orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000302085299",1,"1/100674-6",1,326.90382720000,330.5702,21.00,"",399.99,399.99,"X",509067
1,"B0000302085299",2,"1/100695-7",1,1225.91182720000,1239.6611,21.00,"",1499.99,1499.99,"X",509067
1,"B0000302085299",3,"1/100767-7",1,531.22382720000,537.1818,21.00,"",649.99,649.99,"X",509067
1,"B0000302085299",4,"1/101169-9",1,702.85262720000,710.7355,21.00,"",859.99,859.99,"X",509067
1,"B0000302085299",5,"5/201417-3",1,2758.31080560000,2479.3305,21.00,"",2999.99,2999.99,"X",509067
1,"B0000302085299",6,"4/263-0",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",509067
1,"B0000302085299",7,"4/264-2",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",509067
1,"B0000302085299",8,"5/402502-5",1,183.87880560000,165.2809,21.00,"",199.99,199.99,"X",509067
1,"B0000302085299",9,"5/402870-9",1,919.43080560000,826.4380,21.00,"",999.99,999.99,"X",509067
1,"B0000302085299",10,"5/404445-2",1,827.48680560000,743.7933,21.00,"",899.99,899.99,"X",509067
1,"B0000302085299",11,"5/404678-9",1,551.65480560000,495.8595,21.00,"",599.99,599.99,"X",509067
1,"B0000302085299",12,"1/41343-9",1,490.35982720000,495.8595,21.00,"",599.99,599.99,"X",509067
1,"B0000302085299",13,"4/500480-2",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",509067
1,"B0000302085299",14,"4/500500-6",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",509067
1,"B0000302085299",15,"4/500503-2",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",509067
1,"B0000302085299",16,"4/500504-4",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",509067
1,"B0000302085299",17,"4/500511-2",3,0.03064800000,0.0082,21.00,"",0.01,0.03,"X",509067
1,"B0000302085299",18,"4/500513-7",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",509067
1,"B0000302085299",19,"4/650301-6",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",509067
1,"B0000302085299",20,"4/650305-4",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",509067
1,"B0000302085299",21,"4/8264-3",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",509067
1,"B0000302085299",22,"9/900747-5",1,337.12800000000,272.7272,21.00,"",330.00,330.00,"X",509067
2,"B0000302085300",1,"1/100887-6",1,357.55284880000,413.2148,21.00,"",499.99,499.99,"X",572465
2,"B0000302085300",2,"1/100904-2",1,214.52884880000,247.9256,21.00,"",299.99,299.99,"X",572465
2,"B0000302085300",3,"1/101157-0",1,214.52884880000,247.9256,21.00,"",299.99,299.99,"X",572465
2,"B0000302085300",4,"1/101158-2",1,214.52884880000,247.9256,21.00,"",299.99,299.99,"X",572465
2,"B0000302085300",5,"1/101159-4",1,214.52884880000,247.9256,21.00,"",299.99,299.99,"X",572465
2,"B0000302085300",6,"5/203995-9",1,1302.53131640000,1239.6611,21.00,"",1499.99,1499.99,"X",572465
2,"B0000302085300",7,"4/264-2",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",572465
2,"B0000302085300",8,"5/402920-6",1,1649.87531640000,1570.2396,21.00,"",1899.99,1899.99,"X",572465
2,"B0000302085300",9,"5/404246-5",1,173.66331640000,165.2809,21.00,"",199.99,199.99,"X",572465
2,"B0000302085300",10,"5/404247-7",1,173.66331640000,165.2809,21.00,"",199.99,199.99,"X",572465
2,"B0000302085300",11,"5/404252-1",1,408.12051640000,388.4214,21.00,"",469.99,469.99,"X",572465
2,"B0000302085300",12,"5/404254-5",1,347.33531640000,330.5702,21.00,"",399.99,399.99,"X",572465
2,"B0000302085300",13,"5/404775-1",1,408.12051640000,388.4214,21.00,"",469.99,469.99,"X",572465
2,"B0000302085300",14,"5/404785-6",1,408.12051640000,388.4214,21.00,"",469.99,469.99,"X",572465
2,"B0000302085300",15,"5/404790-9",1,738.09731640000,702.4710,21.00,"",849.99,849.99,"X",572465
2,"B0000302085300",16,"4/500503-2",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",572465
2,"B0000302085300",17,"4/500504-4",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",572465
2,"B0000302085300",18,"4/500511-2",3,0.03064800000,0.0082,21.00,"",0.01,0.03,"X",572465
2,"B0000302085300",19,"4/500513-7",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",572465
2,"B0000302085300",20,"5/52456-1",1,1476.20331640000,1404.9504,21.00,"",1699.99,1699.99,"X",572465
2,"B0000302085300",21,"5/60423-3",1,434.17131640000,413.2148,21.00,"",499.99,499.99,"X",572465
2,"B0000302085300",22,"4/650305-4",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",572465
2,"B0000302085300",23,"4/8264-3",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",572465
2,"B0000302085300",24,"5/96397-1",1,390.75331640000,371.8925,21.00,"",449.99,449.99,"X",572465
3,"B0000302085301",1,"1/100119-7",1,393.30884880000,454.5371,21.00,"",549.99,549.99,"X",576090
3,"B0000302085301",2,"1/100539-1",1,429.06484880000,495.8595,21.00,"",599.99,599.99,"X",576090
3,"B0000302085301",3,"1/100671-0",1,614.99604880000,710.7355,21.00,"",859.99,859.99,"X",576090
3,"B0000302085301",4,"1/100732-3",1,214.52884880000,247.9256,21.00,"",299.99,299.99,"X",576090
3,"B0000302085301",5,"1/100773-3",1,214.52884880000,247.9256,21.00,"",299.99,299.99,"X",576090
3,"B0000302085301",6,"1/100848-1",1,286.04084880000,330.5702,21.00,"",399.99,399.99,"X",576090
3,"B0000302085301",7,"1/100883-7",1,321.79684880000,371.8925,21.00,"",449.99,449.99,"X",576090
3,"B0000302085301",8,"1/101097-9",1,572.08884880000,661.1487,21.00,"",799.99,799.99,"X",576090
3,"B0000302085301",9,"3/11403-3",1,121.56171640000,115.6942,21.00,"",139.99,139.99,"X",576090
3,"B0000302085301",10,"3/11406-0",1,121.56171640000,115.6942,21.00,"",139.99,139.99,"X",576090
3,"B0000302085301",11,"5/11406-0",1,156.29611640000,148.7520,21.00,"",179.99,179.99,"X",576090
3,"B0000302085301",12,"1/24070-4",1,429.06484880000,495.8595,21.00,"",599.99,599.99,"X",576090
3,"B0000302085301",13,"4/264-2",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X",576090
