"orden","n_comp","fecha_emision","cod_cliente","figura","importe","bonif_sin_imp","imp_gravado","imp_exento","imp_iva","montib","gastadmi","boniflibro","bonifcosme","bonifpract","porclider","boniflider","bonifivadic","zona"
5,"B0000303125059","2023-09-27",1333002,5,45205.53,25749.82,33809.9,0.0,11395.63,0.0,"1327.49",0.0,"21999.84","3749.98","","0.00",4295.55,123
6,"B0000303125060","2023-09-27",1339928,5,15165.63,5144.96,11342.61,0.0,2381.95,0.0,"445.35",0.0,"4589.97","554.99","","0.00",0.0,123
7,"B0000303125061","2023-09-27",1367509,5,26735.15,12679.9,19995.62,0.0,4199.08,0.0,"785.10",0.0,"8079.94","4599.96","","0.00",0.0,123
8,"B0000303125062","2023-09-27",2021562,5,65274.84,33164.78,48820.05,0.0,16454.8,0.0,"1916.84",0.0,"25539.83","7624.95","","0.00",6202.59,123
11,"B0000303125065","2023-09-27",2413811,5,26280.68,14324.95,19655.72,0.0,4127.7,0.0,"771.75",0.0,"12599.96","1724.99","","0.00",0.0,123
12,"B0000303125066","2023-09-27",2413812,5,18659.49,4754.97,13955.71,0.0,2930.7,0.0,"547.95",0.0,"2999.98","1754.98","","0.00",0.0,123
13,"B0000303125067","2023-09-27",2413813,5,23782.83,6269.97,17787.54,0.0,3735.38,0.0,"698.40",0.0,"3809.98","2459.99","","0.00",0.0,123
14,"B0000303125068","2023-09-27",2413814,5,23542.73,8054.96,17607.97,0.0,3697.67,0.0,"691.35",0.0,"6779.97","1274.99","","0.00",0.0,123
15,"B0000303125069","2023-09-27",2413815,5,29651.89,18624.91,22177.1,0.0,4657.19,0.0,"870.75",0.0,"17899.91","725.00","","0.00",0.0,123
16,"B0000303125070","2023-09-27",2413816,5,20947.89,10794.95,15667.25,0.0,3290.12,0.0,"615.15",0.0,"7919.97","2874.98","","0.00",0.0,123
17,"B0000303125071","2023-09-27",2414056,5,29843.39,15187.39,22320.33,0.0,4687.27,0.0,"876.37",0.0,"11199.92","3987.47","","0.00",0.0,123
18,"B0000303125072","2023-09-27",2414058,5,55671.93,27174.86,41637.88,0.0,14034.05,0.0,"1634.85",0.0,"18799.91","8374.95","","0.00",5290.09,123
19,"B0000303125073","2023-09-27",2414065,5,21341.16,10059.92,15961.38,0.0,3351.89,0.0,"626.70",0.0,"7359.95","2699.97","","0.00",0.0,123
23,"B0000303125077","2023-09-27",2414152,5,34029.39,17239.9,25451.09,0.0,8578.29,0.0,"999.30",0.0,"12839.94","4399.96","","0.00",3233.56,123
24,"B0000303125078","2023-09-27",2414160,5,18700.34,5594.96,13986.27,0.0,2937.12,0.0,"549.15",0.0,"4019.98","1574.98","","0.00",0.0,123
25,"B0000303125079","2023-09-27",2414161,5,27935.62,14554.92,20893.48,0.0,4387.63,0.0,"820.35",0.0,"10879.93","3674.99","","0.00",0.0,123
26,"B0000303125080","2023-09-27",2414162,5,59906.31,29939.78,44804.84,0.0,15101.47,0.0,"1759.19",0.0,"21439.86","8499.92","","0.00",5692.46,123
27,"B0000303125081","2023-09-27",2414188,5,33064.03,12064.94,24729.09,0.0,8334.94,0.0,"970.95",0.0,"3839.98","8224.96","","0.00",3141.83,123
28,"B0000303125082","2023-09-27",2414231,5,41303.27,9269.97,30891.34,0.0,10411.93,0.0,"1212.90",0.0,"3629.98","5639.99","","0.00",3924.75,123
29,"B0000303125083","2023-09-27",2414340,5,17826.91,4949.97,13333.02,0.0,2799.93,0.0,"523.50",0.0,"3179.98","1769.99","","0.00",0.0,123
30,"B0000303125084","2023-09-27",2414356,5,26004.8,10544.94,19449.38,0.0,4084.37,0.0,"763.65",0.0,"4119.97","6424.97","","0.00",0.0,123
31,"B0000303125085","2023-09-27",2414358,5,20779.33,13359.93,15541.18,0.0,3263.65,0.0,"610.20",0.0,"13159.93","200.00","","0.00",0.0,123
41,"B0000303125095","2023-09-27",2414528,5,58813.42,26029.9,43987.45,0.0,14825.97,0.0,"1727.10",0.0,"13679.94","12349.96","","0.00",5588.61,123
42,"B0000303125096","2023-09-27",2414630,5,30509.98,16484.89,22818.88,0.0,4791.96,0.0,"895.95",0.0,"13059.92","3424.97","","0.00",0.0,123
43,"B0000303125097","2023-09-27",2414638,5,20549.43,11484.91,15369.23,0.0,3227.54,0.0,"603.45",0.0,"9559.92","1924.98","","0.00",0.0,123
44,"B0000303125098","2023-09-27",2414642,5,41313.38,15959.91,30898.9,0.0,10414.48,0.0,"1213.20",0.0,"4959.98","10999.94","","0.00",3925.71,123
45,"B0000303125099","2023-09-27",2414651,5,33467.8,14939.88,25031.08,0.0,8436.72,0.0,"982.81",0.0,"8039.93","6899.94","","0.00",3180.2,123
46,"B0000303125100","2023-09-27",2414658,5,32808.5,11384.9,24537.98,0.0,8270.52,0.0,"963.44",0.0,"1359.99","10024.91","","0.00",3117.55,123
47,"B0000303125101","2023-09-27",2414670,5,31082.12,15574.92,23246.79,0.0,7835.33,0.0,"912.75",0.0,"11399.94","4174.98","","0.00",2953.5,123
48,"B0000303125102","2023-09-27",2414706,5,15998.23,8139.94,11965.32,0.0,2512.72,0.0,"469.80",0.0,"5839.96","2299.98","","0.00",0.0,123
49,"B0000303125103","2023-09-27",2414711,5,27767.07,14219.93,20767.41,0.0,4361.16,0.0,"815.40",0.0,"10319.93","3900.00","","0.00",0.0,123
50,"B0000303125104","2023-09-27",2414714,5,15819.49,5714.97,11831.63,0.0,2484.64,0.0,"464.55",0.0,"5069.98","644.99","","0.00",0.0,123
51,"B0000303125105","2023-09-27",2414753,5,15014.96,4852.47,11229.91,0.0,2358.28,0.0,"440.92",0.0,"3839.98","1012.49","","0.00",0.0,123
72,"B0000303125126","2023-09-27",2415084,5,63303.16,28254.82,47345.39,0.0,15957.76,0.0,"1858.94",0.0,"15679.92","12574.90","","0.00",6015.23,123
73,"B0000303125127","2023-09-27",2415089,5,43287.7,15697.44,32375.53,0.0,10912.17,0.0,"1271.17",0.0,"3759.98","11937.46","","0.00",4113.31,123
74,"B0000303125128","2023-09-27",2415094,5,39466.76,21817.35,29517.79,0.0,9948.97,0.0,"1158.97",0.0,"17879.90","3937.44","","0.00",3750.24,123
