"orden","n_comp","fecha_emision","cod_cliente","figura","importe","bonif_sin_imp","imp_gravado","imp_exento","imp_iva","montib","gastadmi","boniflibro","bonifcosme","bonifpract","porclider","boniflider","bonifivadic","zona"
1,"B0000303125055","2023-09-27",749300,5,52009.44,24389.87,38898.65,0.0,13110.79,0.0,"1527.29",0.0,"14839.93","9549.94","","0.00",4942.07,123
2,"B0000303125056","2023-09-27",767055,5,15180.91,3239.97,11354.03,0.0,2384.35,0.0,"445.80",0.0,"1049.99","2189.98","","0.00",0.0,123
3,"B0000303125057","2023-09-27",809784,5,26479.79,11279.93,19804.63,0.0,4158.97,0.0,"777.60",0.0,"5279.98","5999.96","","0.00",0.0,123
4,"B0000303125058","2023-09-27",935718,5,42447.37,21849.91,31747.03,0.0,10700.34,0.0,"1246.50",0.0,"15999.92","5849.99","","0.00",4033.46,123
9,"B0000303125063","2023-09-27",2095996,5,12269.4,3989.97,9176.47,0.0,1927.06,0.0,"360.30",0.0,"3179.98","809.99","","0.00",0.0,123
10,"B0000303125064","2023-09-27",2233654,5,43182.86,24429.87,32297.12,0.0,10885.74,0.0,"1268.10",0.0,"20679.88","3749.98","","0.00",4103.35,123
20,"B0000303125074","2023-09-27",2414116,5,21116.66,10829.94,15793.47,0.0,3316.63,0.0,"620.11",0.0,"7879.97","2949.97","","0.00",0.0,123
21,"B0000303125075","2023-09-27",2414118,5,50538.53,23729.84,37798.53,0.0,12740.0,0.0,"1484.10",0.0,"14679.92","9049.92","","0.00",4802.3,123
22,"B0000303125076","2023-09-27",2414132,5,28145.06,12819.86,21050.12,0.0,4420.52,0.0,"826.50",0.0,"8419.92","4399.94","","0.00",0.0,123
32,"B0000303125086","2023-09-27",2414369,5,45895.21,21824.87,34325.72,0.0,11569.49,0.0,"1347.75",0.0,"13699.92","8124.94","","0.00",4361.08,123
33,"B0000303125087","2023-09-27",2414379,5,29989.02,18044.9,22429.25,0.0,4710.14,0.0,"880.65",0.0,"16519.91","1524.99","","0.00",0.0,123
34,"B0000303125088","2023-09-27",2414395,5,27360.92,15017.4,20463.65,0.0,4297.37,0.0,"803.47",0.0,"12179.92","2837.48","","0.00",0.0,123
35,"B0000303125089","2023-09-27",2414399,5,43060.4,21369.92,32205.53,0.0,10854.87,0.0,"1264.50",0.0,"15119.94","6249.98","","0.00",4091.71,123
36,"B0000303125090","2023-09-27",2414404,5,47861.8,20759.88,35796.57,0.0,12065.23,0.0,"1405.50",0.0,"12459.94","8299.94","","0.00",4547.95,123
37,"B0000303125091","2023-09-27",2414433,5,30249.72,14089.93,22624.23,0.0,4751.09,0.0,"888.30",0.0,"8439.96","5649.96","","0.00",0.0,123
38,"B0000303125092","2023-09-27",2414453,5,43596.63,17394.88,32606.58,0.0,10990.05,0.0,"1280.25",0.0,"7719.94","9674.94","","0.00",4142.67,123
39,"B0000303125093","2023-09-27",2414512,5,14440.3,4214.97,10800.12,0.0,2268.02,0.0,"424.05",0.0,"2924.98","1289.99","","0.00",0.0,123
40,"B0000303125094","2023-09-27",2414522,5,19977.37,5894.97,14941.38,0.0,3137.69,0.0,"586.65",0.0,"4154.99","1739.98","","0.00",0.0,123
52,"B0000303125106","2023-09-27",2414759,5,11411.25,3029.97,8534.65,0.0,1792.28,0.0,"335.10",0.0,"1799.98","1229.98","","0.00",0.0,123
53,"B0000303125107","2023-09-27",2414769,5,17147.54,6014.96,12824.91,0.0,2693.23,0.0,"503.55",0.0,"5189.97","824.99","","0.00",0.0,123
54,"B0000303125108","2023-09-27",2414774,5,20105.06,7719.95,15036.88,0.0,3157.74,0.0,"590.40",0.0,"2319.98","5399.96","","0.00",0.0,123
55,"B0000303125109","2023-09-27",2414785,5,23736.86,10464.94,17753.16,0.0,3728.16,0.0,"697.05",0.0,"5439.96","5024.98","","0.00",0.0,123
