orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
5,"B0000303125059",1,"1/100119-7",2,1961.45974080000,1322.3057,21.00,"",1599.99,3199.98,"X", - 
5,"B0000303125059",2,"1/100217-1",5,3064.76935200000,826.4380,21.00,"",999.99,4999.95,"X", - 
5,"B0000303125059",3,"1/100634-9",2,1838.86774080000,1239.6611,21.00,"",1499.99,2999.98,"X", - 
5,"B0000303125059",4,"1/100657-4",2,1838.86774080000,1239.6611,21.00,"",1499.99,2999.98,"X", - 
5,"B0000303125059",5,"1/100721-7",2,4290.70774080000,2892.5537,21.00,"",3499.99,6999.98,"X", - 
5,"B0000303125059",6,"1/100776-1",5,3064.76935200000,826.4380,21.00,"",999.99,4999.95,"X", - 
5,"B0000303125059",7,"1/100786-5",3,3126.07761120000,1404.9504,21.00,"",1699.99,5099.97,"X", - 
5,"B0000303125059",8,"1/100867-7",5,3064.76935200000,826.4380,21.00,"",999.99,4999.95,"X", - 
5,"B0000303125059",9,"1/101182-2",1,735.54587040000,991.7272,21.00,"",1199.99,1199.99,"X", - 
5,"B0000303125059",10,"1/101183-4",2,1471.09174080000,991.7272,21.00,"",1199.99,2399.98,"X", - 
5,"B0000303125059",11,"1/101184-7",1,735.54587040000,991.7272,21.00,"",1199.99,1199.99,"X", - 
5,"B0000303125059",12,"1/101185-9",1,735.54587040000,991.7272,21.00,"",1199.99,1199.99,"X", - 
5,"B0000303125059",13,"1/101186-1",1,735.54587040000,991.7272,21.00,"",1199.99,1199.99,"X", - 
5,"B0000303125059",14,"1/101237-0",2,3187.37974080000,2148.7520,21.00,"",2599.99,5199.98,"X", - 
5,"B0000303125059",15,"1/101364-5",1,735.54587040000,991.7272,21.00,"",1199.99,1199.99,"X", - 
5,"B0000303125059",16,"1/101365-8",1,735.54587040000,991.7272,21.00,"",1199.99,1199.99,"X", - 
5,"B0000303125059",17,"1/101366-0",1,735.54587040000,991.7272,21.00,"",1199.99,1199.99,"X", - 
5,"B0000303125059",18,"1/101367-2",1,735.54587040000,991.7272,21.00,"",1199.99,1199.99,"X", - 
5,"B0000303125059",19,"4/265-5",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
5,"B0000303125059",20,"3/400013-8",1,612.95233800000,661.1487,21.00,"",799.99,799.99,"X",18001IC04134068S - buenos aires
5,"B0000303125059",21,"3/400015-3",1,612.95233800000,661.1487,21.00,"",799.99,799.99,"X",18001IC04134068S - buenos aires
5,"B0000303125059",22,"5/401143-0",2,1379.14467600000,743.7933,21.00,"",899.99,1799.98,"X", - 
5,"B0000303125059",23,"5/401144-2",1,536.33233800000,578.5041,21.00,"",699.99,699.99,"X", - 
5,"B0000303125059",24,"5/401411-9",1,2451.83233800000,2644.6198,21.00,"",3199.99,3199.99,"X",23001IC04102132B - buenos aires
5,"B0000303125059",25,"5/402410-7",1,1149.29233800000,1239.6611,21.00,"",1499.99,1499.99,"X", - 
5,"B0000303125059",26,"5/404788-2",1,689.57233800000,743.7933,21.00,"",899.99,899.99,"X", - 
5,"B0000303125059",27,"5/405549-9",1,4060.85233800000,4380.1570,21.00,"",5299.99,5299.99,"X", - 
5,"B0000303125059",28,"4/500582-5",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
5,"B0000303125059",29,"4/500588-9",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
5,"B0000303125059",30,"1/54426-7",1,919.43387040000,1239.6611,21.00,"",1499.99,1499.99,"X", - 
5,"B0000303125059",31,"4/900460-1",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
6,"B0000303125060",1,"1/100386-9",1,1072.67284880000,1239.6611,21.00,"",1499.99,1499.99,"X", - 
6,"B0000303125060",2,"1/100657-4",1,1072.67284880000,1239.6611,21.00,"",1499.99,1499.99,"X", - 
6,"B0000303125060",3,"1/100793-3",1,643.60084880000,743.7933,21.00,"",899.99,899.99,"X", - 
6,"B0000303125060",4,"1/101005-5",1,1430.23284880000,1652.8842,21.00,"",1999.99,1999.99,"X", - 
6,"B0000303125060",5,"1/101061-2",1,643.60084880000,743.7933,21.00,"",899.99,899.99,"X", - 
