orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000303620289",1,"7/101427-3",1,4633.18970400000,3719.0000,21.00,"",4499.99,4499.99,"X",572465
1,"B0000303620289",2,"5/201477-0",1,1312.73124840000,1239.6611,21.00,"",1499.99,1499.99,"X",572465
1,"B0000303620289",3,"4/256-2",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",572465
1,"B0000303620289",4,"5/300831-9",1,3500.63124840000,3305.7768,21.00,"",3999.99,3999.99,"X",572465
1,"B0000303620289",5,"3/400257-2",2,2100.36649680000,991.7272,21.00,"",1199.99,2399.98,"X",572465
1,"B0000303620289",6,"5/400676-5",1,2100.37524840000,1983.4628,21.00,"",2399.99,2399.99,"X",572465
1,"B0000303620289",7,"5/401221-6",1,3063.05124840000,2892.5537,21.00,"",3499.99,3499.99,"X",572465
1,"B0000303620289",8,"5/401576-6",1,2362.92324840000,2231.3966,21.00,"",2699.99,2699.99,"X",572465
1,"B0000303620289",9,"5/403500-1",1,1050.18324840000,991.7272,21.00,"",1199.99,1199.99,"X",572465
1,"B0000303620289",10,"5/403567-4",1,4025.72724840000,3801.6446,21.00,"",4599.99,4599.99,"X",572465
1,"B0000303620289",11,"5/403656-6",1,1312.73124840000,1239.6611,21.00,"",1499.99,1499.99,"X",572465
1,"B0000303620289",12,"5/404285-2",1,1136.83284000000,1073.5537,21.00,"",1299.00,1299.00,"X",572465
1,"B0000303620289",13,"5/405519-6",1,1487.76324840000,1404.9504,21.00,"",1699.99,1699.99,"X",572465
1,"B0000303620289",14,"5/406111-2",1,1750.31124840000,1652.8842,21.00,"",1999.99,1999.99,"X",572465
1,"B0000303620289",15,"5/406183-8",1,2012.85924840000,1900.8181,21.00,"",2299.99,2299.99,"X",572465
1,"B0000303620289",16,"5/406223-1",1,2100.37524840000,1983.4628,21.00,"",2399.99,2399.99,"X",572465
1,"B0000303620289",17,"4/550240-8",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",572465
1,"B0000303620289",18,"4/900609-3",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",572465
2,"B0000303620290",1,"1/100119-7",1,3603.59279280000,4132.2231,21.00,"",4999.99,4999.99,"X",576090
2,"B0000303620290",2,"1/100128-9",1,1081.07279280000,1239.6611,21.00,"",1499.99,1499.99,"X",576090
2,"B0000303620290",3,"1/101097-9",1,3387.37679280000,3884.2892,21.00,"",4699.99,4699.99,"X",576090
2,"B0000303620290",4,"1/101184-7",1,2378.36879280000,2727.2644,21.00,"",3299.99,3299.99,"X",576090
2,"B0000303620290",5,"1/101186-1",1,2378.36879280000,2727.2644,21.00,"",3299.99,3299.99,"X",576090
2,"B0000303620290",6,"1/101272-7",1,3603.59279280000,4132.2231,21.00,"",4999.99,4999.99,"X",576090
2,"B0000303620290",7,"7/101427-3",1,4169.87073360000,3719.0000,21.00,"",4499.99,4499.99,"X",576090
2,"B0000303620290",8,"1/101450-1",3,10810.77837840000,4132.2231,21.00,"",4999.99,14999.97,"X",576090
2,"B0000303620290",9,"1/101465-6",1,4324.31279280000,4958.6694,21.00,"",5999.99,5999.99,"X",576090
2,"B0000303620290",10,"5/204521-3",1,1312.73124840000,1239.6611,21.00,"",1499.99,1499.99,"X",576090
2,"B0000303620290",11,"4/256-2",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",576090
2,"B0000303620290",12,"5/400251-9",4,5250.92499360000,1239.6611,21.00,"",1499.99,5999.96,"X",576090
2,"B0000303620290",13,"5/400257-2",1,1312.73124840000,1239.6611,21.00,"",1499.99,1499.99,"X",576090
2,"B0000303620290",14,"5/403659-2",1,1312.73124840000,1239.6611,21.00,"",1499.99,1499.99,"X",576090
2,"B0000303620290",15,"5/404433-3",1,1750.31124840000,1652.8842,21.00,"",1999.99,1999.99,"X",576090
2,"B0000303620290",16,"5/404434-5",1,1750.31124840000,1652.8842,21.00,"",1999.99,1999.99,"X",576090
2,"B0000303620290",17,"5/404559-4",1,5250.95124840000,4958.6694,21.00,"",5999.99,5999.99,"X",576090
2,"B0000303620290",18,"5/405724-7",7,18378.29873880000,2479.3305,21.00,"",2999.99,20999.93,"X",576090
2,"B0000303620290",19,"5/406111-2",1,1750.31124840000,1652.8842,21.00,"",1999.99,1999.99,"X",576090
