orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303377908","2023-12-13",5816220,5,29886.86,10244.96,22352.84,0.00,4694.10,0.00000000000,"877.65",0.00,"8639.97","1604.99","","0.00","0.00",123
2,"B0000303377909","2023-12-12",6356567,5,32016.92,11759.96,23945.94,0.00,5028.65,0.00000000000,"940.20",0.00,"10589.96","1170.00","","0.00","0.00",123
3,"B0000303377910","2023-12-13",7511965,2,26224.36,4529.97,21673.02,0.00,4551.34,0.00000000000,"554.47",0.00,"0.00","4529.97","","0.00","0.00",123
4,"B0000303377911","2023-12-13",7670559,5,23792.95,4109.97,17795.11,0.00,3736.97,0.00000000000,"698.70",0.00,"0.00","4109.97","","0.00","0.00",123
5,"B0000303377912","2023-12-13",9357181,5,88971.06,44309.90,66542.81,0.00,22428.25,0.00000000000,"2612.70",0.00,"30559.91","13749.99","","0.00","8454.26",123
6,"B0000303377913","2023-12-12",13330020,5,27746.63,5639.97,20752.12,0.00,4357.95,0.00000000000,"814.80",0.00,"1439.98","4199.98","","0.00","0.00",123
7,"B0000303377914","2023-12-12",13675095,5,105582.05,44749.83,78966.42,0.00,26615.63,0.00000000000,"3100.49",0.00,"20599.93","24149.90","","0.00","10032.68",123
8,"B0000303377915","2023-12-12",20261489,5,54313.27,10934.97,40621.72,0.00,8530.56,0.00000000000,"1594.95",0.00,"2639.99","8294.98","","0.00","0.00",123
9,"B0000303377916","2023-12-13",20959966,5,23593.97,6704.98,17646.29,0.00,3705.72,0.00000000000,"692.85",0.00,"4469.99","2234.99","","0.00","0.00",123
10,"B0000303377917","2023-12-13",22336540,5,43075.72,27034.92,32216.99,0.00,6765.57,0.00000000000,"1264.95",0.00,"25959.93","1074.99","","0.00","0.00",123
11,"B0000303377918","2023-12-12",24138118,5,26265.26,9889.94,19644.19,0.00,4125.28,0.00000000000,"771.30",0.00,"2639.99","7249.95","","0.00","0.00",123
12,"B0000303377919","2023-12-12",24138126,5,14128.69,2669.98,10567.06,0.00,2219.08,0.00000000000,"414.90",0.00,"390.00","2279.98","","0.00","0.00",123
13,"B0000303377920","2023-12-12",24140562,5,40235.56,17814.90,30092.79,0.00,6319.48,0.00000000000,"1181.55",0.00,"10039.94","7774.96","","0.00","0.00",123
14,"B0000303377921","2023-12-12",24140589,5,73784.93,30774.90,55184.87,0.00,18600.06,0.00000000000,"2166.75",0.00,"13399.94","17374.96","","0.00","7011.24",123
15,"B0000303377922","2023-12-13",24141160,5,23149.54,7739.97,17313.89,0.00,3635.92,0.00000000000,"679.80",0.00,"6359.98","1379.99","","0.00","0.00",123
16,"B0000303377923","2023-12-13",24141186,5,44449.80,12689.97,33244.68,0.00,6981.38,0.00000000000,"1305.30",0.00,"8519.98","4169.99","","0.00","0.00",123
17,"B0000303377924","2023-12-13",24141321,5,13454.57,6429.95,10062.87,0.00,2113.20,0.00000000000,"395.10",0.00,"4079.97","2349.98","","0.00","0.00",123
18,"B0000303377925","2023-12-12",24141623,5,69724.19,29249.96,52147.78,0.00,17576.41,0.00000000000,"2047.50",0.00,"29249.96","0.00","","0.00","6625.38",123
19,"B0000303377926","2023-12-12",24141887,5,62751.92,20424.95,46933.11,0.00,15818.81,0.00000000000,"1842.75",0.00,"799.99","19624.96","","0.00","5962.85",123
20,"B0000303377927","2023-12-12",24143405,5,55764.00,22714.94,41706.74,0.00,8758.42,0.00000000000,"1637.55",0.00,"9039.97","13674.96","","0.00","0.00",123
21,"B0000303377928","2023-12-12",24143561,5,30893.16,16359.94,23105.47,0.00,4852.15,0.00000000000,"907.20",0.00,"12559.96","3799.98","","0.00","0.00",123
22,"B0000303377929","2023-12-12",24143588,5,24033.08,5474.97,17974.71,0.00,3774.69,0.00000000000,"705.75",0.00,"3689.98","1784.99","","0.00","0.00",123
23,"B0000303377930","2023-12-13",24143693,5,32129.35,7049.98,24030.03,0.00,5046.31,0.00000000000,"943.50",0.00,"2549.98","4500.00","","0.00","0.00",123
24,"B0000303377931","2023-12-13",24143790,5,14864.26,4949.97,11117.20,0.00,2334.61,0.00000000000,"436.50",0.00,"4049.97","900.00","","0.00","0.00",123
25,"B0000303377932","2023-12-13",24143952,5,24707.39,6914.97,18479.03,0.00,3880.60,0.00000000000,"725.55",0.00,"4499.98","2414.99","","0.00","0.00",123
26,"B0000303377933","2023-12-13",24143995,5,47110.97,20854.90,35235.01,0.00,7399.35,0.00000000000,"1383.45",0.00,"12279.95","8574.95","","0.00","0.00",123
27,"B0000303377934","2023-12-13",24144045,5,74070.91,29194.88,55398.76,0.00,18672.15,0.00000000000,"2175.14",0.00,"14219.94","14974.93","","0.00","7038.41",123
28,"B0000303377935","2023-12-13",24144339,5,26883.47,8084.96,20106.56,0.00,4222.38,0.00000000000,"789.45",0.00,"5849.97","2234.99","","0.00","0.00",123
29,"B0000303377936","2023-12-13",24145220,5,16222.97,5519.97,12133.40,0.00,2548.01,0.00000000000,"476.40",0.00,"4619.98","899.99","","0.00","0.00",123
30,"B0000303377937","2023-12-12",24145289,5,64330.10,35729.91,48113.46,0.00,16216.64,0.00000000000,"1889.10",0.00,"32229.93","3499.99","","0.00","6112.81",123
31,"B0000303377938","2023-12-12",24146382,5,33176.34,14584.91,24813.09,0.00,5210.75,0.00000000000,"974.25",0.00,"7759.97","6824.94","","0.00","0.00",123
32,"B0000303377939","2023-12-12",24146420,5,29524.22,0.00,22081.61,0.00,4637.14,0.00000000000,"867.00",0.00,"0.00","0.00","","0.00","0.00",123
33,"B0000303377940","2023-12-12",24146510,5,16039.14,3599.98,11995.92,0.00,2519.14,0.00000000000,"471.00",0.00,"1409.99","2189.99","","0.00","0.00",123
34,"B0000303377941","2023-12-12",24146587,5,37237.23,15849.93,27850.29,0.00,5848.56,0.00000000000,"1093.50",0.00,"7399.98","8449.95","","0.00","0.00",123
35,"B0000303377942","2023-12-12",24146706,5,152029.22,61734.86,113704.96,0.00,38324.26,0.00000000000,"4464.44",0.00,"24559.92","37174.95","","0.00","14446.22",123
36,"B0000303377943","2023-12-12",24147532,5,27935.58,12714.93,20893.45,0.00,4387.62,0.00000000000,"820.35",0.00,"7939.97","4774.96","","0.00","0.00",123
37,"B0000303377944","2023-12-13",24147966,5,65463.91,36619.84,48961.45,0.00,16502.46,0.00000000000,"1922.39",0.00,"30519.88","6099.95","","0.00","6220.55",123
38,"B0000303377945","2023-12-13",24148423,5,19629.96,8784.94,14681.55,0.00,3083.13,0.00000000000,"576.45",0.00,"4759.97","4024.97","","0.00","0.00",123
39,"B0000303377946","2023-12-13",24148555,5,27521.86,5459.98,20584.01,0.00,4322.64,0.00000000000,"808.20",0.00,"1199.99","4259.98","","0.00","0.00",123
40,"B0000303377947","2023-12-13",24148610,5,48255.18,18464.94,36090.78,0.00,7579.06,0.00000000000,"1417.05",0.00,"5439.98","13024.96","","0.00","0.00",123
41,"B0000303377948","2023-12-13",24148687,5,23583.60,10914.93,17638.53,0.00,3704.09,0.00000000000,"692.55",0.00,"6439.96","4474.98","","0.00","0.00",123
42,"B0000303377949","2023-12-13",24149012,5,29794.90,10934.96,22284.06,0.00,4679.65,0.00000000000,"874.95",0.00,"9839.97","1094.99","","0.00","0.00",123
43,"B0000303377950","2023-12-13",24149020,5,24702.24,12019.93,18475.18,0.00,3879.79,0.00000000000,"725.40",0.00,"7919.96","4099.97","","0.00","0.00",123
44,"B0000303377951","2023-12-13",24149225,5,33631.04,13379.95,25153.17,0.00,5282.17,0.00000000000,"987.60",0.00,"12869.95","510.00","","0.00","0.00",123
45,"B0000303377952","2023-12-13",24149268,5,33421.61,19884.92,24996.53,0.00,5249.27,0.00000000000,"981.45",0.00,"17959.94","1924.99","","0.00","0.00",123
