orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000303125055",1,"1/100119-7",1,980.72987040000,1322.3057,21.00,"",1599.99,1599.99,"X", - 
1,"B0000303125055",2,"1/100217-1",1,612.95387040000,826.4380,21.00,"",999.99,999.99,"X", - 
1,"B0000303125055",3,"1/100570-9",1,612.95387040000,826.4380,21.00,"",999.99,999.99,"X", - 
1,"B0000303125055",4,"1/100823-0",1,919.43387040000,1239.6611,21.00,"",1499.99,1499.99,"X", - 
1,"B0000303125055",5,"1/100867-7",1,612.95387040000,826.4380,21.00,"",999.99,999.99,"X", - 
1,"B0000303125055",6,"1/100981-2",1,2758.31387040000,3719.0000,21.00,"",4499.99,4499.99,"X", - 
1,"B0000303125055",7,"1/101009-4",1,1532.39387040000,2066.1074,21.00,"",2499.99,2499.99,"X", - 
1,"B0000303125055",8,"1/101061-2",1,551.65787040000,743.7933,21.00,"",899.99,899.99,"X", - 
1,"B0000303125055",9,"1/101067-6",1,551.65787040000,743.7933,21.00,"",899.99,899.99,"X", - 
1,"B0000303125055",10,"1/101163-6",1,2758.31387040000,3719.0000,21.00,"",4499.99,4499.99,"X", - 
1,"B0000303125055",11,"1/101183-4",1,735.54587040000,991.7272,21.00,"",1199.99,1199.99,"X", - 
1,"B0000303125055",12,"1/101230-5",1,612.95387040000,826.4380,21.00,"",999.99,999.99,"X", - 
1,"B0000303125055",13,"1/101385-6",1,1593.68987040000,2148.7520,21.00,"",2599.99,2599.99,"X", - 
1,"B0000303125055",14,"1/101386-9",1,1593.68987040000,2148.7520,21.00,"",2599.99,2599.99,"X", - 
1,"B0000303125055",15,"1/101387-1",1,1593.68987040000,2148.7520,21.00,"",2599.99,2599.99,"X", - 
1,"B0000303125055",16,"5/204459-6",1,7661.99233800000,8264.4545,21.00,"",9999.99,9999.99,"X", - 
1,"B0000303125055",17,"5/204464-9",1,4980.29233800000,5371.8925,21.00,"",6499.99,6499.99,"X", - 
1,"B0000303125055",18,"5/204470-5",1,689.57233800000,743.7933,21.00,"",899.99,899.99,"X", - 
1,"B0000303125055",19,"1/23941-4",1,1654.98587040000,2231.3966,21.00,"",2699.99,2699.99,"X", - 
1,"B0000303125055",20,"4/265-5",3,0.03064800000,0.0082,21.00,"",0.01,0.03,"X", - 
1,"B0000303125055",21,"3/400013-8",2,1225.90467600000,661.1487,21.00,"",799.99,1599.98,"X",18001IC04134068S - buenos aires
1,"B0000303125055",22,"3/400015-3",2,1225.90467600000,661.1487,21.00,"",799.99,1599.98,"X",18001IC04134068S - buenos aires
1,"B0000303125055",23,"5/400496-5",1,1455.77233800000,1570.2396,21.00,"",1899.99,1899.99,"X", - 
1,"B0000303125055",24,"5/400953-6",2,1532.38467600000,826.4380,21.00,"",999.99,1999.98,"X", - 
1,"B0000303125055",25,"5/402310-8",2,1379.14467600000,743.7933,21.00,"",899.99,1799.98,"X",20001IC04175252L - buenos aires
1,"B0000303125055",26,"5/402311-0",1,689.57233800000,743.7933,21.00,"",899.99,899.99,"X",20001IC04175252L - buenos aires
1,"B0000303125055",27,"5/404380-9",1,612.95233800000,661.1487,21.00,"",799.99,799.99,"X", - 
1,"B0000303125055",28,"5/405798-6",1,1992.11233800000,2148.7520,21.00,"",2599.99,2599.99,"X", - 
1,"B0000303125055",29,"5/405814-1",1,612.95233800000,661.1487,21.00,"",799.99,799.99,"X", - 
1,"B0000303125055",30,"5/405815-3",1,612.95233800000,661.1487,21.00,"",799.99,799.99,"X", - 
1,"B0000303125055",31,"5/405816-6",1,612.95233800000,661.1487,21.00,"",799.99,799.99,"X", - 
1,"B0000303125055",32,"5/405842-0",1,612.95233800000,661.1487,21.00,"",799.99,799.99,"X", - 
1,"B0000303125055",33,"5/405843-2",1,612.95233800000,661.1487,21.00,"",799.99,799.99,"X", - 
1,"B0000303125055",34,"1/42205-7",1,919.43387040000,1239.6611,21.00,"",1499.99,1499.99,"X", - 
1,"B0000303125055",35,"1/43170-8",1,2145.35387040000,2892.5537,21.00,"",3499.99,3499.99,"X", - 
1,"B0000303125055",36,"4/500582-5",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
1,"B0000303125055",37,"4/500588-9",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
1,"B0000303125055",38,"5/52445-4",1,1532.39233800000,1652.8842,21.00,"",1999.99,1999.99,"X", - 
1,"B0000303125055",39,"5/52446-6",1,1225.91233800000,1322.3057,21.00,"",1599.99,1599.99,"X", - 
1,"B0000303125055",40,"/900547-7",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
2,"B0000303125056",1,"1/100989-9",1,429.06484880000,495.8595,21.00,"",599.99,599.99,"X", - 
2,"B0000303125056",2,"1/101353-9",1,572.08884880000,661.1487,21.00,"",799.99,799.99,"X", - 
2,"B0000303125056",3,"1/101362-1",1,1072.67284880000,1239.6611,21.00,"",1499.99,1499.99,"X", - 
2,"B0000303125056",4,"5/200396-8",1,1389.36731640000,1322.3057,21.00,"",1599.99,1599.99,"X",22001IC04006751K - buenos aires
2,"B0000303125056",5,"1/24677-4",1,429.06484880000,495.8595,21.00,"",599.99,599.99,"X", - 
2,"B0000303125056",6,"4/265-5",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
2,"B0000303125056",7,"3/300649-3",2,1215.68663280000,578.5041,21.00,"",699.99,1399.98,"X", - 
2,"B0000303125056",8,"5/302478-7",1,1042.02331640000,991.7272,21.00,"",1199.99,1199.99,"X", - 
2,"B0000303125056",9,"5/400269-1",1,607.84331640000,578.5041,21.00,"",699.99,699.99,"X", - 
2,"B0000303125056",10,"5/401144-2",1,607.84331640000,578.5041,21.00,"",699.99,699.99,"X", - 
2,"B0000303125056",11,"5/401372-9",1,868.35131640000,826.4380,21.00,"",999.99,999.99,"X", - 
2,"B0000303125056",12,"5/401646-2",2,868.34263280000,413.2148,21.00,"",499.99,999.98,"X", - 
2,"B0000303125056",13,"5/402590-2",2,2778.73463280000,1322.3057,21.00,"",1599.99,3199.98,"X", - 
2,"B0000303125056",14,"5/403854-9",1,1128.85931640000,1074.3719,21.00,"",1299.99,1299.99,"X", - 
2,"B0000303125056",15,"5/404548-7",1,868.35131640000,826.4380,21.00,"",999.99,999.99,"X", - 
2,"B0000303125056",16,"5/46462-5",1,1302.53131640000,1239.6611,21.00,"",1499.99,1499.99,"X", - 
2,"B0000303125056",17,"4/500550-8",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
2,"B0000303125056",18,"4/500576-1",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
2,"B0000303125056",19,"4/500577-3",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
2,"B0000303125056",20,"4/500582-5",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
2,"B0000303125056",21,"4/500588-9",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
2,"B0000303125056",22,"4/650337-2",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
2,"B0000303125056",23,"/900547-7",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
3,"B0000303125057",1,"1/100657-4",1,919.43387040000,1239.6611,21.00,"",1499.99,1499.99,"X", - 
3,"B0000303125057",2,"1/100899-5",1,1471.09787040000,1983.4628,21.00,"",2399.99,2399.99,"X", - 
3,"B0000303125057",3,"1/100925-3",1,1103.32187040000,1487.5950,21.00,"",1799.99,1799.99,"X", - 
3,"B0000303125057",4,"1/101284-5",1,1348.50587040000,1818.1735,21.00,"",2199.99,2199.99,"X", - 
3,"B0000303125057",5,"1/101302-5",1,2145.35387040000,2892.5537,21.00,"",3499.99,3499.99,"X", - 
3,"B0000303125057",6,"1/23095-4",1,1103.32187040000,1487.5950,21.00,"",1799.99,1799.99,"X", - 
3,"B0000303125057",7,"4/265-5",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
3,"B0000303125057",8,"3/300647-9",2,1072.66467600000,578.5041,21.00,"",699.99,1399.98,"X", - 
3,"B0000303125057",9,"3/300649-3",1,536.33233800000,578.5041,21.00,"",699.99,699.99,"X", - 
3,"B0000303125057",10,"3/300650-8",1,536.33233800000,578.5041,21.00,"",699.99,699.99,"X", - 
3,"B0000303125057",11,"5/300655-9",1,612.95233800000,661.1487,21.00,"",799.99,799.99,"X", - 
3,"B0000303125057",12,"5/401143-0",1,689.57233800000,743.7933,21.00,"",899.99,899.99,"X", - 
3,"B0000303125057",13,"5/401372-9",2,1532.38467600000,826.4380,21.00,"",999.99,1999.98,"X", - 
