orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000700035115","2024-02-19",6007691374,2,0.00,0.00,0.00,0.00,1718.18,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
2,"B0000700035116","2024-02-19",6011985014,2,0.00,0.00,0.00,0.00,3514.45,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
3,"B0000700035117","2024-02-19",6012035806,2,0.00,0.00,0.00,0.00,1921.24,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
4,"B0000700035118","2024-02-19",6013159909,2,0.00,0.00,0.00,0.00,2863.45,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
5,"B0000700035119","2024-02-19",6013536475,2,0.00,0.00,0.00,0.00,2074.53,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
6,"B0000700035120","2024-02-19",6013995933,2,0.00,0.00,0.00,0.00,2169.41,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
7,"B0000700035121","2024-02-19",6014099477,2,0.00,0.00,0.00,0.00,2698.63,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
8,"B0000700035122","2024-02-19",6017829838,2,0.00,0.00,0.00,0.00,4685.95,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
9,"B0000700035123","2024-02-19",6017993432,2,0.00,0.00,0.00,0.00,2967.76,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
10,"B0000700035124","2024-02-19",6020171134,2,0.00,0.00,0.00,0.00,8677.66,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
11,"B0000700035125","2024-02-19",6023735215,2,0.00,0.00,0.00,0.00,3037.18,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
12,"B0000700035126","2024-02-19",6024047372,2,0.00,0.00,0.00,0.00,3686.28,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
13,"B0000700035127","2024-02-19",6024322899,2,0.00,0.00,0.00,0.00,2516.35,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
14,"B0000700035128","2024-02-19",6024770130,2,0.00,0.00,0.00,0.00,1349.40,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
15,"B0000700035129","2024-02-19",6025554970,2,0.00,0.00,0.00,0.00,3471.07,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
16,"B0000700035130","2024-02-19",6025836753,2,0.00,0.00,0.00,0.00,3505.77,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
17,"B0000700035131","2024-02-19",6025905703,2,0.00,0.00,0.00,0.00,1301.48,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
18,"B0000700035132","2024-02-19",6025918785,2,0.00,0.00,0.00,0.00,3120.47,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
19,"B0000700035133","2024-02-19",6025980034,2,0.00,0.00,0.00,0.00,3297.52,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
20,"B0000700035134","2024-02-19",6026337877,2,0.00,0.00,0.00,0.00,3037.01,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
21,"B0000700035135","2024-02-19",6026348794,2,0.00,0.00,0.00,0.00,4810.90,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
22,"B0000700035136","2024-02-19",6027249496,2,0.00,0.00,0.00,0.00,2361.45,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
23,"B0000700035137","2024-02-19",6027284728,2,0.00,0.00,0.00,0.00,2030.58,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
24,"B0000700035138","2024-02-19",6027792897,2,0.00,0.00,0.00,0.00,1301.48,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
25,"B0000700035139","2024-02-19",6028829682,2,0.00,0.00,0.00,0.00,6074.38,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
26,"B0000700035140","2024-02-19",6029400924,2,0.00,0.00,0.00,0.00,3731.39,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
27,"B0000700035141","2024-02-19",6030391709,2,0.00,0.00,0.00,0.00,3280.16,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
28,"B0000700035142","2024-02-19",6030916937,2,0.00,0.00,0.00,0.00,6247.91,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
29,"B0000700035143","2024-02-19",6031064886,2,0.00,0.00,0.00,0.00,4685.94,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
30,"B0000700035144","2024-02-19",6031722788,2,0.00,0.00,0.00,0.00,1999.33,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
31,"B0000700035145","2024-02-19",6031722788,2,0.00,0.00,0.00,0.00,1718.18,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
32,"B0000700035146","2024-02-19",6031759135,2,0.00,0.00,0.00,0.00,1327.68,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
33,"B0000700035147","2024-02-19",6031759135,2,0.00,0.00,0.00,0.00,1718.18,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
34,"B0000700035148","2024-02-19",6031869116,2,0.00,0.00,0.00,0.00,6595.03,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
35,"B0000700035149","2024-02-19",6032002951,2,0.00,0.00,0.00,0.00,3037.01,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
36,"B0000700035150","2024-02-19",6032197088,2,0.00,0.00,0.00,0.00,3904.96,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
37,"B0000700035151","2024-02-19",6032306535,2,0.00,0.00,0.00,0.00,4685.94,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
38,"B0000700035152","2024-02-19",6032887003,2,0.00,0.00,0.00,0.00,3818.17,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
39,"B0000700035153","2024-02-19",6033254158,2,0.00,0.00,0.00,0.00,2169.24,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
40,"B0000700035154","2024-02-19",6033270990,2,0.00,0.00,0.00,0.00,5161.44,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
