"orden","n_comp","renglon","cod_art","cantidad","importe_neto","precio_neto","porc_iva","adicional","precio_lista","total_renglon","cuales","revend"
2,"B0000700035230",1,"5/405247-8",2,4950.0,4090.91,21.0,"0.00",4950.0,9900.0," ","601198501"
2,"B0000700035230",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","601198501"
2,"B0000700035230",3,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","601198501"
5,"B0000700035233",1,"1/100673-4",1,7499.99,6198.34,21.0,"0.00",7499.99,7499.99," ","601745340"
5,"B0000700035233",2,"1/100720-4",1,10999.99,9090.9,21.0,"0.00",10999.99,10999.99," ","601745340"
5,"B0000700035233",3,"1/100721-7",1,10999.99,9090.9,21.0,"0.00",10999.99,10999.99," ","601745340"
5,"B0000700035233",4,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","601745340"
5,"B0000700035233",5,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","601745340"
6,"B0000700035234",1,"1/101036-0",6,4999.99,4132.22,21.0,"0.00",4999.99,29999.94," ","601780505"
6,"B0000700035234",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","601780505"
6,"B0000700035234",3,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","601780505"
11,"B0000700035239",1,"5/405702-4",1,4999.99,4132.22,21.0,"0.00",4999.99,4999.99," ","602744883"
11,"B0000700035239",2,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","602744883"
11,"B0000700035239",3,"0/9-0",1,2498.99,2065.28,21.0,"0.00",2498.99,2498.99," ","602744883"
13,"B0000700035241",1,"1/101302-5",1,8699.99,7190.07,21.0,"0.00",8699.99,8699.99," ","602773569"
13,"B0000700035241",2,"5/404880-3",1,11999.99,9917.35,21.0,"0.00",11999.99,11999.99," ","602773569"
13,"B0000700035241",3,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","602773569"
13,"B0000700035241",4,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","602773569"
18,"B0000700035246",1,"1/101164-8",2,4000.0,3305.79,21.0,"0.00",4000.0,8000.0," ","602945436"
18,"B0000700035246",2,"1/24202-6",2,3500.0,2892.56,21.0,"0.00",3500.0,7000.0," ","602945436"
18,"B0000700035246",3,"4/800056-0",1,0.01,0.01,21.0,"0.00",0.01,0.01," ","602945436"
18,"B0000700035246",4,"0/9-0",1,-0.01,-0.01,21.0,"0.00",-0.01,-0.01," ","602945436"
19,"B0000700035247",1,"1/100357-8",1,8999.99,7438.01,21.0,"0.00",8999.99,8999.99," ","603018193"
19,"B0000700035247",2,"1/100956-9",1,3150.0,2603.31,21.0,"0.00",3150.0,3150.0," ","603018193"
19,"B0000700035247",3,"1/101005-5",1,5399.99,4462.8,21.0,"0.00",5399.99,5399.99," ","603018193"
19,"B0000700035247",4,"1/101006-7",1,5399.99,4462.8,21.0,"0.00",5399.99,5399.99," ","603018193"
