orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303625644","2024-03-21",5724651,2,33950.08,5024.83,28057.92,0.00,5892.16,1402.90000000000,"976.03",0.00,"0.00","5024.83","","0.00","0.00",703
2,"B0000303625645","2024-03-21",5760909,2,83536.37,24164.94,69038.33,0.00,14498.05,3451.92000000000,"2401.59",0.00,"17639.96","6524.97","","0.00","0.00",703
3,"B0000303625646","2024-03-21",8055378,2,61451.55,14414.93,50786.40,0.00,10665.15,2539.32000000000,"1766.67",0.00,"6599.97","7814.97","","0.00","0.00",703
4,"B0000303625647","2024-03-21",10403205,2,82408.14,17759.80,68105.90,0.00,14302.24,0.00000000000,"2369.15",0.00,"8879.98","8879.83","","0.00","0.00",703
5,"B0000303625648","2024-03-21",10948546,10,115917.28,34514.92,86696.29,0.00,29220.99,4334.81000000000,"3332.51",0.00,"26249.94","8264.98","","0.00","11014.76",703
6,"B0000303625649","2024-03-21",11028335,2,68736.02,15139.98,56806.63,0.00,11929.39,2840.33000000000,"1976.09",0.00,"14799.98","340.00","","0.00","0.00",703
7,"B0000303625650","2024-03-21",11054115,2,46198.08,15329.97,38180.23,0.00,8017.85,1909.01000000000,"1328.15",0.00,"13949.97","1380.00","","0.00","0.00",703
8,"B0000303625651","2024-03-21",11273070,10,106238.96,36614.89,79457.73,0.00,26781.23,3972.89000000000,"3054.27",0.00,"32189.92","4424.98","","0.00","10095.11",703
9,"B0000303625652","2024-03-21",11362286,2,84514.49,28514.91,69846.69,0.00,14667.80,3492.33000000000,"2429.71",0.00,"24299.92","4214.99","","0.00","0.00",703
10,"B0000303625653","2024-03-21",11569972,2,77120.21,18494.63,63735.71,0.00,13384.50,3186.79000000000,"2217.13",0.00,"10349.96","8144.67","","0.00","0.00",703
11,"B0000303625654","2024-03-21",11969334,2,31701.32,10409.97,26199.44,0.00,5501.88,0.00000000000,"911.38",0.00,"9359.98","1049.99","","0.00","0.00",703
12,"B0000303625655","2024-03-21",12358290,10,371648.86,77834.84,277961.83,0.00,93687.03,13898.09000000000,"10684.54",0.00,"24929.94","52904.90","","0.00","35315.05",703
13,"B0000303625656","2024-03-21",12454273,2,46187.73,9539.97,38171.68,0.00,8016.05,1908.58000000000,"1327.85",0.00,"4109.99","5429.98","","0.00","0.00",703
14,"B0000303625657","2024-03-21",12500747,2,42270.05,10844.95,34933.92,0.00,7336.12,1746.70000000000,"1215.22",0.00,"7019.98","3824.97","","0.00","0.00",703
15,"B0000303625658","2024-03-21",12691682,2,92828.57,24539.95,76717.83,0.00,16110.74,3835.89000000000,"2668.73",0.00,"15569.97","8969.98","","0.00","0.00",703
16,"B0000303625659","2024-03-21",12744204,2,71299.71,27749.95,58925.38,0.00,12374.33,2946.27000000000,"2049.80",0.00,"27749.95","0.00","","0.00","0.00",703
17,"B0000303625660","2024-03-21",12836940,2,50676.79,13979.96,41881.64,0.00,8795.15,2094.08000000000,"1456.91",0.00,"9899.97","4079.99","","0.00","0.00",703
18,"B0000303625661","2024-03-21",13065769,2,37312.62,5359.98,30836.87,0.00,6475.74,1541.84000000000,"1072.70",0.00,"3299.99","2059.99","","0.00","0.00",703
19,"B0000303625662","2024-03-21",13328840,2,52633.07,5679.99,43498.41,0.00,9134.67,2174.92000000000,"1513.15",0.00,"0.00","5679.99","","0.00","0.00",703
20,"B0000303625663","2024-03-21",13373749,2,33662.68,7004.98,27820.40,0.00,5842.28,1391.02000000000,"967.77",0.00,"3449.99","3554.98","","0.00","0.00",703
21,"B0000303625664","2024-03-21",13408623,2,21034.69,1770.00,17384.04,0.00,3650.65,869.20000000000,"604.73",0.00,"0.00","1770.00","","0.00","0.00",703
22,"B0000303625665","2024-03-21",13476548,2,38594.48,12314.97,31896.26,0.00,6698.22,1594.81000000000,"1109.55",0.00,"11039.97","1275.00","","0.00","0.00",703
23,"B0000303625666","2024-03-21",13597531,2,46048.72,10274.96,38056.79,0.00,7991.93,1902.84000000000,"1323.86",0.00,"5399.98","4874.98","","0.00","0.00",703
24,"B0000303625667","2024-03-21",13721054,2,33729.62,5439.98,27875.72,0.00,5853.90,1393.79000000000,"969.69",0.00,"3689.99","1749.99","","0.00","0.00",703
25,"B0000303625668","2024-03-21",13722514,2,32622.78,9014.96,26960.97,0.00,5661.80,1348.05000000000,"937.87",0.00,"7169.97","1844.99","","0.00","0.00",703
26,"B0000303625669","2024-03-21",13809113,2,93446.28,32339.92,77228.33,0.00,16217.95,3861.42000000000,"2686.49",0.00,"29099.94","3239.99","","0.00","0.00",703
27,"B0000303625670","2024-03-21",13990195,2,30352.54,5119.99,25084.74,0.00,5267.80,1254.24000000000,"872.61",0.00,"4219.99","900.00","","0.00","0.00",703
28,"B0000303625671","2024-03-21",14133458,2,18697.58,2239.99,15452.55,0.00,3245.03,772.63000000000,"537.54",0.00,"1299.99","940.00","","0.00","0.00",703
29,"B0000303625672","2024-03-21",20070748,2,75685.77,28889.95,62550.22,0.00,13135.55,3127.51000000000,"2175.89",0.00,"27959.96","929.99","","0.00","0.00",703
30,"B0000303625673","2024-03-21",20210388,2,37110.97,7154.83,30670.22,0.00,6440.75,1533.51000000000,"1066.90",0.00,"2699.99","4454.84","","0.00","0.00",703
31,"B0000303625674","2024-03-21",20210574,2,54460.50,16004.95,45008.68,0.00,9451.82,2250.43000000000,"1565.69",0.00,"12689.97","3314.98","","0.00","0.00",703
32,"B0000303625675","2024-03-21",20563353,2,55706.33,17894.94,46038.29,0.00,9668.04,2301.91000000000,"1601.50",0.00,"15089.96","2804.98","","0.00","0.00",703
33,"B0000303625676","2024-03-21",20705166,2,81502.85,24134.04,67357.73,0.00,14145.12,3367.89000000000,"2343.13",0.00,"19529.96","4604.08","","0.00","0.00",703
34,"B0000303625677","2024-03-21",20754280,2,67304.78,19829.94,55623.79,0.00,11681.00,2781.19000000000,"1934.95",0.00,"18149.94","1679.99","","0.00","0.00",703
35,"B0000303625678","2024-03-21",20785364,2,40163.70,9089.82,33193.14,0.00,6970.56,1659.66000000000,"1154.67",0.00,"5099.99","3989.83","","0.00","0.00",703
36,"B0000303625679","2024-03-21",20785429,2,46270.15,9359.98,38239.79,0.00,8030.36,1911.99000000000,"1330.22",0.00,"8759.98","600.00","","0.00","0.00",703
37,"B0000303625680","2024-03-21",20785453,2,73914.74,20009.93,61086.56,0.00,12828.18,3054.33000000000,"2124.98",0.00,"13379.96","6629.97","","0.00","0.00",703
38,"B0000303625681","2024-03-21",20828489,2,83448.92,30449.93,68966.05,0.00,14482.87,3448.30000000000,"2399.08",0.00,"28349.94","2100.00","","0.00","0.00",703
39,"B0000303625682","2024-03-21",20866003,2,43490.20,11159.97,35942.32,0.00,7547.89,1797.12000000000,"1250.30",0.00,"7649.98","3509.99","","0.00","0.00",703
40,"B0000303625683","2024-03-21",20934017,2,67654.81,16499.95,55913.07,0.00,11741.74,2795.65000000000,"1945.01",0.00,"10109.97","6389.97","","0.00","0.00",703
41,"B0000303625684","2024-03-21",21046581,2,22651.19,5499.99,18719.99,0.00,3931.20,936.00000000000,"651.20",0.00,"5499.99","0.00","","0.00","0.00",703
42,"B0000303625685","2024-03-21",21140480,2,58553.22,16229.96,48391.09,0.00,10162.13,2419.55000000000,"1683.35",0.00,"11429.97","4799.99","","0.00","0.00",703
43,"B0000303625686","2024-03-21",21236496,2,46681.99,6759.98,38580.15,0.00,8101.83,1929.01000000000,"1342.06",0.00,"3999.99","2759.99","","0.00","0.00",703
44,"B0000303625687","2024-03-21",21236518,2,93806.57,27089.92,77526.09,0.00,16280.48,3876.30000000000,"2696.85",0.00,"19619.94","7469.97","","0.00","0.00",703
45,"B0000303625688","2024-03-21",21352518,2,26481.24,3779.98,21885.32,0.00,4595.92,1094.27000000000,"761.31",0.00,"2559.99","1219.99","","0.00","0.00",703
