orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000700035229","2024-02-20",6003383250,2,0.00,0.00,0.00,0.00,3879.52,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
2,"B0000700035230","2024-02-20",6011985014,2,0.00,0.00,0.00,0.00,1718.18,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
3,"B0000700035231","2024-02-20",6012092388,2,0.00,0.00,0.00,0.00,5185.79,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
4,"B0000700035232","2024-02-20",6016974416,2,0.00,0.00,0.00,0.00,3401.64,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
5,"B0000700035233","2024-02-20",6017453408,2,0.00,0.00,0.00,0.00,5119.83,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
6,"B0000700035234","2024-02-20",6017805051,2,0.00,0.00,0.00,0.00,5206.60,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
7,"B0000700035235","2024-02-20",6018864968,2,0.00,0.00,0.00,0.00,3123.97,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
8,"B0000700035236","2024-02-20",6023617891,2,0.00,0.00,0.00,0.00,4338.84,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
9,"B0000700035237","2024-02-20",6025528665,2,0.00,0.00,0.00,0.00,6247.92,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
10,"B0000700035238","2024-02-20",6025919873,2,0.00,0.00,0.00,0.00,7421.67,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
11,"B0000700035239","2024-02-20",6027448839,2,0.00,0.00,0.00,0.00,1301.48,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
12,"B0000700035240","2024-02-20",6027529683,2,0.00,0.00,0.00,0.00,5107.68,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
13,"B0000700035241","2024-02-20",6027735696,2,0.00,0.00,0.00,0.00,3592.55,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
14,"B0000700035242","2024-02-20",6028304042,2,0.00,0.00,0.00,0.00,5553.72,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
15,"B0000700035243","2024-02-20",6028648089,2,0.00,0.00,0.00,0.00,3037.02,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
16,"B0000700035244","2024-02-20",6028831735,2,0.00,0.00,0.00,0.00,2342.97,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
17,"B0000700035245","2024-02-20",6029258998,2,0.00,0.00,0.00,0.00,6525.61,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
18,"B0000700035246","2024-02-20",6029454362,2,0.00,0.00,0.00,0.00,2603.30,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
19,"B0000700035247","2024-02-20",6030181937,2,0.00,0.00,0.00,0.00,4529.75,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
20,"B0000700035248","2024-02-20",6030421064,2,0.00,0.00,0.00,0.00,3037.01,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
21,"B0000700035249","2024-02-20",6030440453,2,0.00,0.00,0.00,0.00,3037.02,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
22,"B0000700035250","2024-02-20",6031431655,2,0.00,0.00,0.00,0.00,3592.56,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
23,"B0000700035251","2024-02-20",6031759135,2,0.00,0.00,0.00,0.00,3670.65,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
24,"B0000700035252","2024-02-20",6032323360,2,0.00,0.00,0.00,0.00,2776.68,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
25,"B0000700035253","2024-02-20",6032830884,2,0.00,0.00,0.00,0.00,5466.93,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
26,"B0000700035254","2024-02-20",6034332833,2,0.00,0.00,0.00,0.00,2120.65,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
27,"B0000700035255","2024-02-20",6035401460,2,0.00,0.00,0.00,0.00,3557.84,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
28,"B0000700035256","2024-02-20",6035475733,2,0.00,0.00,0.00,0.00,6746.99,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
29,"B0000700035257","2024-02-20",6035593282,2,0.00,0.00,0.00,0.00,5935.53,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
30,"B0000700035258","2024-02-20",6035729263,2,0.00,0.00,0.00,0.00,1475.03,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
31,"B0000700035259","2024-02-20",6036769296,2,0.00,0.00,0.00,0.00,1561.98,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
32,"B0000700035260","2024-02-20",6036779708,2,0.00,0.00,0.00,0.00,3818.18,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
33,"B0000700035261","2024-02-20",6036832550,2,0.00,0.00,0.00,0.00,1301.48,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
34,"B0000700035262","2024-02-20",6037386157,2,0.00,0.00,0.00,0.00,3991.73,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
35,"B0000700035263","2024-02-20",6037491321,2,0.00,0.00,0.00,0.00,7759.02,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
36,"B0000700035264","2024-02-20",6038051219,2,0.00,0.00,0.00,0.00,3037.01,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
37,"B0000700035265","2024-02-20",6038499353,2,0.00,0.00,0.00,0.00,4165.28,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
38,"B0000700035266","2024-02-20",6039759837,2,0.00,0.00,0.00,0.00,6542.96,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
39,"B0000700035267","2024-02-20",6039941624,2,0.00,0.00,0.00,0.00,3297.35,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
