orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000700035229",1,"1/100658-6",1,3999.99000000000,3305.7800,21.00,"0.00",3999.99,3999.99," ",600338325
1,"B0000700035229",2,"1/101347-3",1,14999.99000000000,12396.6900,21.00,"0.00",14999.99,14999.99," ",600338325
1,"B0000700035229",3,"1/101405-0",1,3999.99000000000,3305.7800,21.00,"0.00",3999.99,3999.99," ",600338325
1,"B0000700035229",4,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",600338325
1,"B0000700035229",5,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",600338325
2,"B0000700035230",1,"5/405247-8",2,4950.00000000000,4090.9100,21.00,"0.00",4950.00,9900.00," ",601198501
2,"B0000700035230",2,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",601198501
2,"B0000700035230",3,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",601198501
3,"B0000700035231",1,"1/100287-2",2,2700.00000000000,2231.4000,21.00,"0.00",2700.00,5400.00," ",601209238
3,"B0000700035231",2,"1/100691-9",2,2700.00000000000,2231.4000,21.00,"0.00",2700.00,5400.00," ",601209238
3,"B0000700035231",3,"1/100991-6",2,2250.00000000000,1859.5000,21.00,"0.00",2250.00,4500.00," ",601209238
3,"B0000700035231",4,"1/101317-0",2,2700.00000000000,2231.4000,21.00,"0.00",2700.00,5400.00," ",601209238
3,"B0000700035231",5,"5/202598-0",2,1440.00000000000,1190.0800,21.00,"0.00",1440.00,2880.00," ",601209238
3,"B0000700035231",6,"1/41183-9",2,3150.00000000000,2603.3100,21.00,"0.00",3150.00,6300.00," ",601209238
3,"B0000700035231",7,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",601209238
3,"B0000700035231",8,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",601209238
4,"B0000700035232",1,"1/100193-9",2,3000.00000000000,2479.3400,21.00,"0.00",3000.00,6000.00," ",601697441
4,"B0000700035232",2,"1/100852-1",2,5000.00000000000,4132.2300,21.00,"0.00",5000.00,10000.00," ",601697441
4,"B0000700035232",3,"1/101382-0",2,1800.00000000000,1487.6000,21.00,"0.00",1800.00,3600.00," ",601697441
4,"B0000700035232",4,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",601697441
4,"B0000700035232",5,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",601697441
5,"B0000700035233",1,"1/100673-4",1,7499.99000000000,6198.3400,21.00,"0.00",7499.99,7499.99," ",601745340
5,"B0000700035233",2,"1/100720-4",1,10999.99000000000,9090.9000,21.00,"0.00",10999.99,10999.99," ",601745340
5,"B0000700035233",3,"1/100721-7",1,10999.99000000000,9090.9000,21.00,"0.00",10999.99,10999.99," ",601745340
5,"B0000700035233",4,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",601745340
5,"B0000700035233",5,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",601745340
6,"B0000700035234",1,"1/101036-0",6,4999.99000000000,4132.2200,21.00,"0.00",4999.99,29999.94," ",601780505
6,"B0000700035234",2,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",601780505
6,"B0000700035234",3,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",601780505
7,"B0000700035235",1,"5/403553-0",1,4999.99000000000,4132.2200,21.00,"0.00",4999.99,4999.99," ",601886496
